항목,성별,연령대,표본수,범주,인원,비율(%)
시력(우),여,30~34세,717384,기타,349,0.05
시력(우),남,35~39세,771663,0.1이하,3118,0.4
시력(우),남,35~39세,771663,0.2~0.4,21065,2.73
시력(우),남,35~39세,771663,0.5~0.7,72824,9.44
시력(우),남,35~39세,771663,0.8~1.0,302701,39.23
시력(우),남,35~39세,771663,1.1~1.5,360960,46.78
시력(우),남,35~39세,771663,1.6~2.0,10416,1.35
시력(우),남,35~39세,771663,기타,579,0.08
시력(우),여,35~39세,529182,0.1이하,4175,0.79
시력(우),여,35~39세,529182,0.2~0.4,23326,4.41
시력(우),여,35~39세,529182,0.5~0.7,63199,11.94
시력(우),여,35~39세,529182,0.8~1.0,229737,43.41
시력(우),여,35~39세,529182,1.1~1.5,204153,38.58
시력(우),여,35~39세,529182,1.6~2.0,4337,0.82
시력(우),여,35~39세,529182,기타,255,0.05
시력(우),남,40~44세,1102857,0.1이하,4981,0.45
시력(우),남,40~44세,1102857,0.2~0.4,33326,3.02
시력(우),남,40~44세,1102857,0.5~0.7,118086,10.71
시력(우),남,40~44세,1102857,0.8~1.0,456983,41.44
시력(우),남,40~44세,1102857,1.1~1.5,475401,43.11
시력(우),남,40~44세,1102857,1.6~2.0,12838,1.16
시력(우),남,40~44세,1102857,기타,1242,0.11
시력(우),여,40~44세,895785,0.1이하,7078,0.79
시력(우),여,40~44세,895785,0.2~0.4,44876,5.01
시력(우),여,40~44세,895785,0.5~0.7,124104,13.85
시력(우),여,40~44세,895785,0.8~1.0,399399,44.59
시력(우),여,40~44세,895785,1.1~1.5,313215,34.97
시력(우),여,40~44세,895785,1.6~2.0,6452,0.72
시력(우),여,40~44세,895785,기타,661,0.07
시력(우),남,45~49세,893975,0.1이하,4531,0.51
시력(우),남,45~49세,893975,0.2~0.4,31915,3.57
시력(우),남,45~49세,893975,0.5~0.7,119384,13.35
시력(우),남,45~49세,893975,0.8~1.0,401224,44.88
시력(우),남,45~49세,893975,1.1~1.5,328570,36.75
시력(우),남,45~49세,893975,1.6~2.0,7091,0.79
시력(우),남,45~49세,893975,기타,1260,0.14
시력(우),여,45~49세,714438,0.1이하,6164,0.86
시력(우),여,45~49세,714438,0.2~0.4,43992,6.16
시력(우),여,45~49세,714438,0.5~0.7,128182,17.94
시력(우),여,45~49세,714438,0.8~1.0,337482,47.24
시력(우),여,45~49세,714438,1.1~1.5,194785,27.26
시력(우),여,45~49세,714438,1.6~2.0,3189,0.45
시력(우),여,45~49세,714438,기타,644,0.09
시력(우),남,50~54세,1122326,0.1이하,6398,0.57
시력(우),남,50~54세,1122326,0.2~0.4,41047,3.66
시력(우),남,50~54세,1122326,0.5~0.7,169056,15.06
시력(우),남,50~54세,1122326,0.8~1.0,530865,47.3
시력(우),남,50~54세,1122326,1.1~1.5,366322,32.64
시력(우),남,50~54세,1122326,1.6~2.0,6539,0.58
시력(우),남,50~54세,1122326,기타,2099,0.19
시력(우),여,50~54세,1050579,0.1이하,9038,0.86
시력(우),여,50~54세,1050579,0.2~0.4,64015,6.09
시력(우),여,50~54세,1050579,0.5~0.7,213915,20.36
시력(우),여,50~54세,1050579,0.8~1.0,518661,49.37
시력(우),여,50~54세,1050579,1.1~1.5,240590,22.9
시력(우),여,50~54세,1050579,1.6~2.0,3158,0.3
시력(우),여,50~54세,1050579,기타,1202,0.11
시력(우),남,55~59세,882047,0.1이하,5226,0.59
시력(우),남,55~59세,882047,0.2~0.4,33358,3.78
시력(우),남,55~59세,882047,0.5~0.7,154739,17.54
시력(우),남,55~59세,882047,0.8~1.0,437067,49.55
시력(우),남,55~59세,882047,1.1~1.5,245621,27.85
시력(우),남,55~59세,882047,1.6~2.0,3923,0.44
시력(우),남,55~59세,882047,기타,2113,0.24
시력(우),여,55~59세,869760,0.1이하,6719,0.77
시력(우),여,55~59세,869760,0.2~0.4,50293,5.78
시력(우),여,55~59세,869760,0.5~0.7,203738,23.42
시력(우),여,55~59세,869760,0.8~1.0,443258,50.96
시력(우),여,55~59세,869760,1.1~1.5,162691,18.71
시력(우),여,55~59세,869760,1.6~2.0,1782,0.2
시력(우),여,55~59세,869760,기타,1279,0.15
시력(우),남,60~64세,951034,0.1이하,7254,0.76
시력(우),남,60~64세,951034,0.2~0.4,48546,5.1
시력(우),남,60~64세,951034,0.5~0.7,222730,23.42
시력(우),남,60~64세,951034,0.8~1.0,475325,49.98
시력(우),남,60~64세,951034,1.1~1.5,191385,20.12
시력(우),남,60~64세,951034,1.6~2.0,2447,0.26
시력(우),남,60~64세,951034,기타,3347,0.35
시력(우),여,60~64세,1023246,0.1이하,10317,1.01
시력(우),여,60~64세,1023246,0.2~0.4,79231,7.74
시력(우),여,60~64세,1023246,0.5~0.7,310385,30.33
시력(우),여,60~64세,1023246,0.8~1.0,494245,48.3
시력(우),여,60~64세,1023246,1.1~1.5,125488,12.26
시력(우),여,60~64세,1023246,1.6~2.0,1198,0.12
시력(우),여,60~64세,1023246,기타,2382,0.23
시력(우),남,65~69세,626880,0.1이하,6631,1.06
시력(우),남,65~69세,626880,0.2~0.4,44641,7.12
시력(우),남,65~69세,626880,0.5~0.7,183630,29.29
시력(우),남,65~69세,626880,0.8~1.0,300762,47.98
시력(우),남,65~69세,626880,1.1~1.5,87200,13.91
시력(우),남,65~69세,626880,1.6~2.0,993,0.16
시력(우),남,65~69세,626880,기타,3023,0.48
시력(우),여,65~69세,657595,0.1이하,9074,1.38
시력(우),여,65~69세,657595,0.2~0.4,69450,10.56
시력(우),여,65~69세,657595,0.5~0.7,238691,36.3
시력(우),여,65~69세,657595,0.8~1.0,286158,43.52
시력(우),여,65~69세,657595,1.1~1.5,51692,7.86
시력(우),여,65~69세,657595,1.6~2.0,421,0.06
시력(우),여,65~69세,657595,기타,2109,0.32
시력(우),남,70~74세,515517,0.1이하,7999,1.55
시력(우),남,70~74세,515517,0.2~0.4,52550,10.19
시력(우),남,70~74세,515517,0.5~0.7,180485,35.01
시력(우),남,70~74세,515517,0.8~1.0,223786,43.41
시력(우),남,70~74세,515517,1.1~1.5,46538,9.03
시력(우),남,70~74세,515517,1.6~2.0,461,0.09
시력(우),남,70~74세,515517,기타,3698,0.72
시력(우),여,70~74세,568282,0.1이하,11722,2.06
시력(우),여,70~74세,568282,0.2~0.4,82787,14.57
시력(우),여,70~74세,568282,0.5~0.7,232031,40.83
시력(우),여,70~74세,568282,0.8~1.0,210204,36.99
시력(우),여,70~74세,568282,1.1~1.5,28359,4.99
시력(우),여,70~74세,568282,1.6~2.0,179,0.03
시력(우),여,70~74세,568282,기타,3000,0.53
시력(우),남,75~79세,228785,0.1이하,5324,2.33
시력(우),남,75~79세,228785,0.2~0.4,30518,13.34
시력(우),남,75~79세,228785,0.5~0.7,87987,38.46
시력(우),남,75~79세,228785,0.8~1.0,88137,38.52
시력(우),남,75~79세,228785,1.1~1.5,14235,6.22
시력(우),남,75~79세,228785,1.6~2.0,127,0.06
시력(우),남,75~79세,228785,기타,2457,1.07
시력(우),여,75~79세,246688,0.1이하,7547,3.06
시력(우),여,75~79세,246688,0.2~0.4,46857,18.99
시력(우),여,75~79세,246688,0.5~0.7,104500,42.36
시력(우),여,75~79세,246688,0.8~1.0,76796,31.13
시력(우),여,75~79세,246688,1.1~1.5,8765,3.55
시력(우),여,75~79세,246688,1.6~2.0,70,0.03
시력(우),여,75~79세,246688,기타,2153,0.87
시력(우),남,80~84세,164331,0.1이하,5993,3.65
시력(우),남,80~84세,164331,0.2~0.4,30076,18.3
시력(우),남,80~84세,164331,0.5~0.7,66511,40.47
시력(우),남,80~84세,164331,0.8~1.0,51878,31.57
시력(우),남,80~84세,164331,1.1~1.5,7120,4.33
시력(우),남,80~84세,164331,1.6~2.0,54,0.03
시력(우),남,80~84세,164331,기타,2699,1.64
시력(우),여,80~84세,192353,0.1이하,9150,4.76
시력(우),여,80~84세,192353,0.2~0.4,48075,24.99
시력(우),여,80~84세,192353,0.5~0.7,80907,42.06
시력(우),여,80~84세,192353,0.8~1.0,47088,24.48
시력(우),여,80~84세,192353,1.1~1.5,4565,2.37
시력(우),여,80~84세,192353,1.6~2.0,33,0.02
시력(우),여,80~84세,192353,기타,2535,1.32
시력(우),남,85세이상,44468,0.1이하,2933,6.6
시력(우),남,85세이상,44468,0.2~0.4,11490,25.84
시력(우),남,85세이상,44468,0.5~0.7,17491,39.33
시력(우),남,85세이상,44468,0.8~1.0,10391,23.37
시력(우),남,85세이상,44468,1.1~1.5,1040,2.34
시력(우),남,85세이상,44468,1.6~2.0,10,0.02
시력(우),남,85세이상,44468,기타,1113,2.5
시력(우),여,85세이상,62987,0.1이하,6646,10.55
시력(우),여,85세이상,62987,0.2~0.4,21703,34.46
시력(우),여,85세이상,62987,0.5~0.7,23019,36.55
시력(우),여,85세이상,62987,0.8~1.0,9465,15.03
시력(우),여,85세이상,62987,1.1~1.5,643,1.02
시력(우),여,85세이상,62987,1.6~2.0,0,0
시력(우),여,85세이상,62987,기타,1511,2.4
