항목,단위,성별,연령대,표본수,P5,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,원 구간·가정
허리둘레,cm,여,19세이하,2929,56.4,57.8,60.5,63.3,66.1,68.8,71.6,74.3,78.6,85.2,91.6,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,20~24세,232371,58.2,61.5,67.9,74.4,77.6,80.5,83.2,86.4,90.6,97.8,104.2,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,20~24세,312312,56.3,57.6,60.2,62.8,65.4,68,70.6,73.2,76.8,83.5,89.5,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,25~29세,626992,60.2,65.4,75.2,78.1,80.8,83.2,85.6,88.6,92.6,98.8,104.5,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,25~29세,577266,56.3,57.7,60.3,63,65.7,68.4,71,73.7,77.8,84.4,90.8,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,30~34세,923367,63.2,71.5,77.8,80.8,83.1,85.5,88,90.9,94.6,100.4,106.1,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,30~34세,710787,56.5,57.9,60.9,63.8,66.8,69.7,72.6,75.9,80.4,87.1,93.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,35~39세,771715,66.8,75.7,80,82.5,84.9,87.3,89.6,92.6,96.1,101.8,107.1,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,35~39세,525956,56.6,58.3,61.5,64.8,68.1,71.3,74.6,78.3,82.7,89,94.8,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,40~44세,1102916,68,76.1,80.4,82.8,85.2,87.4,89.6,92.4,95.6,100.6,105.2,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,40~44세,895355,56.7,58.4,61.8,65.2,68.6,72,75.4,78.9,83,88.9,94.3,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,45~49세,894022,67.6,75.9,80.2,82.5,84.8,86.9,89,91.6,94.5,99.2,103.6,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,45~49세,714547,56.8,58.6,62.1,65.7,69.3,72.8,76.3,79.5,83.3,88.7,93.8,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,50~54세,1122442,66.8,75.7,80,82.2,84.3,86.4,88.5,90.8,93.7,98.1,102,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,50~54세,1050784,56.9,58.8,62.6,66.4,70.2,73.9,77.1,80.1,83.6,88.7,93.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,55~59세,882130,66.4,75.5,79.7,82,84.1,86.2,88.2,90.2,93.2,97.3,100.5,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,55~59세,869892,57.2,59.4,63.9,68.3,72.7,76.3,79,81.8,84.7,89.4,93.9,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,60~64세,951131,66,75.4,79.6,81.9,84,86.1,88.1,90.1,93,96.9,99.9,75~110 5cm · 끝 구간 55·125 가정
