항목,단위,성별,연령대,표본수,P5,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,원 구간·가정
총콜레스테롤,mg/dL,여,30~34세,0,100,100,100,100,100,100,100,100,100,100,100,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,35~39세,213469,148.2,162,176.8,187.5,197.2,206.7,216.1,226.9,238.9,258,275.8,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,35~39세,0,100,100,100,100,100,100,100,100,100,100,100,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,40~44세,542025,144,160.2,176.9,188.8,199.7,209.5,219.3,230.8,243.6,263,279.5,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,40~44세,496841,147.1,160.3,172.1,182.7,191.1,199.5,208.6,217.8,230.5,248.5,263.8,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,45~49세,279451,133.9,150.5,169.9,184.1,195.5,206.2,216.6,228.4,241.3,260.8,278.5,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,45~49세,273487,147.2,161.4,175.7,186.6,196.1,205.4,214.7,225.1,237.3,256.3,273.5,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,50~54세,295222,125.6,144.7,164,178.6,190.3,201.6,212.5,224.3,237.7,257.6,275.7,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,50~54세,297464,146.2,161.7,180,191.9,203.1,213.1,223.5,234.8,248.7,268.7,290.7,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,55~59세,287268,119.6,139.3,157.8,171.9,184.5,195.8,207.2,218.7,233.2,253.1,270.5,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,55~59세,316998,140.7,153.9,173.2,187.7,200.4,211.6,223,235.1,249.8,270.4,294.1,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,60~64세,526188,113.8,127.7,148.2,162.3,174.5,186.3,197.7,210.3,224.4,244.3,260.4,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,60~64세,593353,126.2,144.2,161.5,174.8,187.4,199.5,211.8,224.9,239.3,260.2,278.7,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,65~69세,225708,110,120.1,140.1,152.3,164.2,175.7,187.6,199.6,214.6,234.8,252.2,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,65~69세,258935,118.4,136.8,152.5,165.1,176.4,187.9,199.5,213.1,228.9,250.9,269.5,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,70~74세,169745,108.3,116.6,133.3,146.6,157.6,168.7,179.8,192.6,207.3,227.5,244,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,70~74세,195280,114.4,128.9,147.1,158.7,169.1,179.4,191,203.4,218.4,239.8,258.5,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,75~79세,116557,107.5,115.1,130.2,143.7,154.2,164.9,175.9,188.3,202.2,221.6,238.2,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,75~79세,133452,112.4,124.8,144.1,154.8,165.1,175,185.7,197.5,212.9,234.4,253.3,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,80~84세,97950,106.9,113.9,127.8,141.2,151.3,161.5,172.5,184.4,198.2,217.8,235,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,80~84세,116662,110.8,121.5,141.4,151.6,161.6,171.4,181.5,193.7,208.6,230.1,248.4,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,남,85세이상,16084,106.7,113.4,126.8,140.1,149.8,159.4,170,180.9,194.7,213.7,230.4,140~280 20 단위 · 끝 구간 100·340 가정
총콜레스테롤,mg/dL,여,85세이상,24918,109.2,118.5,136.9,148.4,158.5,168.7,178.8,191.2,205.8,227.2,245.2,140~280 20 단위 · 끝 구간 100·340 가정
HDL,mg/dL,남,19세이하,0,15,15,15,15,15,15,15,15,15,15,15,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,19세이하,0,15,15,15,15,15,15,15,15,15,15,15,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,20~24세,106554,35.3,40.3,43.8,47.4,50.8,53.9,57,60.1,65.3,71.3,77.8,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,20~24세,0,15,15,15,15,15,15,15,15,15,15,15,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,25~29세,196541,34.7,40,43.5,47,50.5,53.7,56.9,60.3,65.6,72.3,78.6,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,25~29세,0,15,15,15,15,15,15,15,15,15,15,15,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,30~34세,233708,34,38.6,42.8,46.1,49.4,52.7,56,59.4,64.7,71.3,78.2,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,30~34세,0,15,15,15,15,15,15,15,15,15,15,15,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,35~39세,213470,33.3,37.2,42,45.1,48.1,51.4,54.8,58.2,63.2,69.7,77.2,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,35~39세,0,15,15,15,15,15,15,15,15,15,15,15,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,40~44세,542025,33.2,37.1,41.9,44.9,48,51.2,54.7,58.2,63.2,69.9,77.6,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,40~44세,496841,41.9,46,52.2,56.5,60.7,64.5,68.4,73,78.2,86.5,97,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,45~49세,279451,33.3,37.3,42,45.1,48.1,51.4,54.9,58.4,63.5,70.2,78,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,45~49세,273487,41.8,45.8,52.1,56.3,60.5,64.5,68.4,73.2,78.6,87.1,98.7,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,50~54세,295223,33.4,37.5,42.2,45.3,48.4,51.7,55.1,58.6,63.8,70.6,78.2,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,50~54세,297464,41.9,46,52.2,56.4,60.6,64.6,68.6,73.5,78.9,87.7,100.4,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,55~59세,287268,33.4,37.4,42.1,45.2,48.3,51.6,55.1,58.6,63.8,70.6,78.1,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,55~59세,316998,41.1,44.5,50.8,54.7,58.5,62.5,66.5,70.7,76.7,85.2,94.3,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,60~64세,526185,33.2,37.1,42,45.2,48.4,51.8,55.3,58.8,64.2,71.1,78.4,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,60~64세,593352,40.4,43.3,49.2,53.1,56.7,60.4,64.5,68.6,74.4,82.2,89.2,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,65~69세,225707,32.7,36.3,41.6,44.8,48,51.3,55,58.6,63.9,70.7,78.2,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,65~69세,258934,39.4,42.5,47.7,52,55.5,59,63,67.2,72.4,79.7,87.5,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,70~74세,169745,32.4,35.8,41.2,44.4,47.6,50.9,54.6,58.2,63.4,70,77.9,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,70~74세,195279,37.7,41.8,46.6,51,54.4,57.8,61.6,66,70.7,78.6,86.1,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,75~79세,116557,32,35.2,40.8,44,47.2,50.5,54.2,58,63.1,69.8,77.7,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,75~79세,133452,36.2,41,45.5,50,53.5,56.9,60.5,65,69.6,77.8,84.9,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,80~84세,97950,31.6,34.6,40.2,43.5,46.7,49.9,53.8,57.6,62.7,69.6,77.3,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,80~84세,116662,34.4,40,44.1,48.2,51.9,55.4,58.8,63.2,68.1,76.1,82.8,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,남,85세이상,16083,31,33.7,39.3,42.8,46.1,49.3,53.2,57.2,62.3,69.4,76.8,30~90 10 단위 · 끝 구간 15·120 가정
HDL,mg/dL,여,85세이상,24918,31.5,34.8,40.8,44.4,48.1,51.8,55.6,59.4,65.1,72.4,78.9,30~90 10 단위 · 끝 구간 15·120 가정
중성지방,mg/dL,남,19세이하,0,20,20,20,20,20,20,20,20,20,20,20,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,19세이하,0,20,20,20,20,20,20,20,20,20,20,20,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,20~24세,106554,32.8,45.7,58.8,69.3,79.9,90.4,101.9,123.5,145.1,191.8,257.8,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,20~24세,0,20,20,20,20,20,20,20,20,20,20,20,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,25~29세,196542,37.3,51.6,63.3,75.1,86.9,98.6,117.7,137.8,167.2,230.6,290.9,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,25~29세,0,20,20,20,20,20,20,20,20,20,20,20,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,30~34세,233705,43.4,54.9,68.4,81.9,95.5,112.9,132.2,152.8,189.3,265.3,337,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,30~34세,0,20,20,20,20,20,20,20,20,20,20,20,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,35~39세,213470,50.6,58.5,74.3,90.1,107,125.8,144.7,173.2,212.9,287.8,374.8,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,35~39세,0,20,20,20,20,20,20,20,20,20,20,20,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,40~44세,542025,52.6,61.8,80.2,98.7,117.3,135.9,157.1,186.3,234.2,298.4,389.7,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,40~44세,496841,31.7,43.4,56.7,66.1,75.5,84.9,94.2,109.2,133.2,170.8,218.7,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,45~49세,279450,53.9,63.6,83.1,102.4,120.6,138.9,161,188.8,236.8,298.6,386.9,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,45~49세,273487,34.3,48.7,59.4,69.3,79.2,89.1,99.1,119.2,140.5,181.8,236.5,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,50~54세,295219,53.2,62.4,81,99.5,117.2,134.9,154.1,182.3,224.2,289.8,370.7,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,50~54세,297463,36,50.6,61.1,71.6,82.1,92.6,105.8,125.5,145.1,188.2,246.6,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,55~59세,287267,52.3,60.7,77.7,94.6,111.8,129.2,146.6,173.5,206.8,279.1,350.5,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,55~59세,316998,37.7,51.7,62.8,73.8,84.9,96,111.7,130.2,148.7,192.4,252.9,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,60~64세,526186,50.4,57.8,72.6,87.3,102.4,119.4,136.4,156.2,188.1,255.2,299.3,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,60~64세,593351,39.7,52.7,64,75.3,86.5,97.8,114.2,131.8,149.5,192.2,250.4,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,65~69세,225707,46.4,55.7,68.8,81.9,95,110.4,127.2,143.9,172.4,223.9,279.4,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,65~69세,258934,43,54,65.4,76.9,88.3,99.8,116.4,133,149.7,191.1,245.9,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,70~74세,169745,45.2,55,67.3,79.6,91.9,105.7,122.3,139,162.8,201,265.2,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,70~74세,195279,46.6,55.1,66.9,78.6,90.4,102.9,118.8,134.7,151.7,191.5,244.9,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,75~79세,116557,44.7,54.6,66.3,77.9,89.6,101.8,118.3,134.8,153.4,193.8,251.9,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,75~79세,133452,50.3,56.2,68.1,80,91.8,104.8,120.3,135.9,153.4,192,245.4,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,80~84세,97950,46.2,54.8,65.9,77,88.1,99.2,115.5,132.1,148.7,188.9,239.7,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,80~84세,116661,52.1,58.4,71,83.7,96.3,110.3,124.9,139.4,159.7,195.2,252,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,남,85세이상,16083,48.8,55.1,65.7,76.4,87,97.6,112.6,128.8,145.1,181.7,220,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
중성지방,mg/dL,여,85세이상,24917,53.6,60.3,73.8,87.2,100.7,114.5,128.2,142,163.7,196.7,254.6,50/100/150/200/300/400/500 · 끝 구간 20·800 가정
LDL,mg/dL,남,19세이하,0,30,30,30,30,30,30,30,30,30,30,30,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,19세이하,0,30,30,30,30,30,30,30,30,30,30,30,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,20~24세,105453,56.3,72.1,81,89.9,98.8,107,115.1,123.1,132.7,151,160.5,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,20~24세,0,30,30,30,30,30,30,30,30,30,30,30,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,25~29세,192693,69.8,75.8,87.4,99.1,107.2,115,122.8,131,144.6,158.1,175.9,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,25~29세,0,30,30,30,30,30,30,30,30,30,30,30,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,30~34세,226640,71.8,79.4,94.6,105.3,113.5,121.6,129.8,140.9,152.1,168.9,183.8,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,30~34세,0,30,30,30,30,30,30,30,30,30,30,30,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,35~39세,204818,71.8,80.6,98.1,107.8,116.5,125.1,134.6,145.1,155.6,174.5,187,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,35~39세,0,30,30,30,30,30,30,30,30,30,30,30,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,40~44세,516688,62.7,76.9,94.7,106.8,116.4,126,136.2,146.9,157.5,177.6,189.1,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,40~44세,493195,68.7,75.8,88,100,107.9,115.7,123.5,132.3,145.6,158.9,177.3,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,45~49세,266916,51,70.7,86.4,101.4,111.5,121.7,132.1,143.7,155.3,175.2,187.8,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,45~49세,271179,66.7,76.4,90.4,102.7,111,119.4,127.8,138.8,150.7,167.3,183.2,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,50~54세,284159,46.6,63.1,81.3,95.6,107.2,117.7,128.1,140.3,152.9,172.3,186.3,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,50~54세,294754,63.7,76.9,93.8,106.1,115.8,125.5,135.9,146.9,157.9,179,193,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,55~59세,278397,43.7,57.5,77.2,90.3,102.8,113.4,124,135.9,149.6,167.6,183.6,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,55~59세,313962,54.4,72.9,88.8,103.3,114.3,125.3,136.6,148.2,159.8,181.3,200,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,60~64세,515636,40.6,51.2,71.4,83,94.7,106,117.1,128.2,143.3,159.2,178.4,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,60~64세,588682,46.1,62.3,79.3,91.5,103.5,115,126.4,139.6,153.5,174.7,188.5,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,65~69세,223073,38.4,46.7,63.5,76.5,87.1,97.7,109.2,121,134.5,153.9,170.1,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,65~69세,257391,41.9,53.8,73.3,83.4,93.6,104.4,116.2,128,144.2,163,182.2,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,70~74세,168438,37.3,44.5,59,72.4,82.4,92.5,103,115.4,127.7,148.8,160.7,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,70~74세,194298,39.6,49.1,68.3,78.3,87.5,96.7,107.9,120.1,134.2,155.1,173.9,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,75~79세,115883,36.8,43.7,57.3,70.7,80.3,89.9,99.6,112.2,125,145.2,157.8,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,75~79세,132825,38.6,47.1,64.2,75.8,84.5,93.2,102.8,115.5,128.2,150.5,166.8,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,80~84세,97519,36.5,43,56,68.9,78.6,88,97.4,109.4,122.4,141.7,155.7,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,80~84세,116075,37.7,45.4,60.7,73.4,82.1,90.7,99.3,112.2,125.4,147,160.3,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,남,85세이상,16041,36.5,43.1,56.1,69.2,78.4,87.3,96.2,107.2,119.9,136.6,152.7,70/100/130/160/190 · 끝 구간 30·250 가정
LDL,mg/dL,여,85세이상,24772,37.6,45.2,60.3,73.2,82.1,91,99.9,112.5,125.1,146,159.1,70/100/130/160/190 · 끝 구간 30·250 가정
크레아티닌,mg/dL,남,19세이하,5724,0.6,0.6,0.7,0.8,0.9,1,1,1,1.1,1.2,1.2,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,19세이하,2930,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,20~24세,232355,0.6,0.6,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,20~24세,312349,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,25~29세,626988,0.6,0.7,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,25~29세,578395,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,30~34세,923376,0.6,0.7,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,30~34세,717448,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,35~39세,771716,0.6,0.7,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,35~39세,529248,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,40~44세,1102956,0.6,0.6,0.8,0.9,1,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,40~44세,895945,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,45~49세,894068,0.6,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,45~49세,714571,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,50~54세,1122458,0.6,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,50~54세,1050798,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,55~59세,882179,0.6,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,55~59세,869894,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,60~64세,951175,0.6,0.6,0.8,0.9,0.9,1,1,1.1,1.1,1.3,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,60~64세,1023401,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,65~69세,626975,0.6,0.6,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.4,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,65~69세,657686,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,70~74세,515608,0.6,0.6,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.5,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,70~74세,568367,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,75~79세,228800,0.6,0.6,0.8,0.9,1,1,1.1,1.1,1.2,1.4,1.5,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,75~79세,246765,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,80~84세,164369,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.5,1.7,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,80~84세,192498,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1.2,1.3,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,남,85세이상,44509,0.6,0.7,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.8,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
크레아티닌,mg/dL,여,85세이상,63312,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,0.9~2.1 0.2 단위 · 끝 구간 0.5·3.0 가정
eGFR,mL/min/1.73㎡,남,19세이하,5720,86.3,93.9,103.5,109.4,115.3,121.2,127.1,132.9,138.8,144.7,147.7,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,19세이하,2930,87.6,95.8,104.3,110.2,116,121.9,127.7,133.5,139.4,145.2,148.2,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,20~24세,232174,82,86.7,96.1,103.9,110.5,117.1,123.7,130.4,137,143.6,146.9,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,20~24세,312179,86.3,96,104.5,110.2,116,121.7,127.4,133.1,138.8,144.6,147.4,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,25~29세,626686,81.5,85.9,94.6,102.6,109.4,116.1,122.9,129.7,136.5,143.3,146.7,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,25~29세,578076,83.5,91.9,103.1,109,114.8,120.7,126.6,132.5,138.4,144.3,147.2,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,30~34세,923029,73.6,81.6,87.2,92.9,98.6,106.5,115.2,123.9,132.6,141.3,145.7,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,30~34세,717065,81.3,85,92.4,99.9,107,114.2,121.4,128.6,135.8,143,146.6,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,35~39세,771450,69.9,80.1,85.4,90.7,96,102.4,111.9,121.5,131,140.5,145.3,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,35~39세,528955,81.2,85,92.4,99.9,107.1,114.2,121.4,128.6,135.7,142.9,146.5,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,40~44세,1102541,68.7,78.4,84.9,90.1,95.4,101.3,111,120.8,130.5,140.3,145.2,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,40~44세,895590,70.5,80.6,89.4,98.3,105.9,113.3,120.6,128,135.3,142.7,146.4,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,45~49세,893722,64.6,70.7,81.4,87.4,93.4,99.4,109.1,119.4,129.6,139.8,144.9,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,45~49세,714229,67.7,76.5,87.5,96.9,105,112.5,120,127.5,135,142.5,146.3,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
